Species_Name,Breed_Name
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Dog,Pug Mix
Dog,Chihuahua Shorthair Mix
Dog,Labrador Retriever Mix
Dog,Doberman Pinsch Mix
Bird,Chicken Mix
Dog,Labrador Retriever Mix
Dog,Labrador Retriever Mix
Dog,Labrador Retriever Mix
Dog,Labrador Retriever Mix
Dog,Labrador Retriever Mix
Other,Bat
Dog,German Shepherd/Nova Scotia Duck Tolling Retriever
Dog,German Shepherd/Nova Scotia Duck Tolling Retriever
Dog,German Shepherd/Nova Scotia Duck Tolling Retriever
Dog,German Shepherd/Nova Scotia Duck Tolling Retriever
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Other,Rabbit Sh Mix
Dog,Labrador Retriever Mix
Cat,Domestic Shorthair Mix
Dog,Labrador Retriever
Dog,Labrador Retriever
Dog,Labrador Retriever
Dog,Labrador Retriever
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Dog,Dachshund Wirehair/Chihuahua Shorthair
Dog,Jack Russell Terrier/Pit Bull
Dog,Jack Russell Terrier/Pit Bull
Dog,Jack Russell Terrier/Pit Bull
Dog,Jack Russell Terrier/Pit Bull
Dog,Labrador Retriever Mix
Dog,Labrador Retriever Mix
Dog,Labrador Retriever Mix
Dog,Labrador Retriever Mix
Cat,Domestic Shorthair Mix
Dog,Labrador Retriever
Dog,Manchester Terrier Mix
Dog,Labrador Retriever Mix
Dog,Boxer Mix
Dog,Boxer Mix
Dog,Boxer Mix
Dog,Boxer Mix
Dog,Boxer Mix
Dog,Boxer Mix
Dog,Boxer Mix
Dog,Boxer Mix
Dog,Boxer Mix
Dog,Boxer Mix
Dog,Boxer Mix
Dog,Boxer Mix
Dog,Boxer Mix
Dog,Boxer Mix
Dog,Boxer Mix
Dog,Boxer Mix
Dog,Rat Terrier/Chihuahua Shorthair
Dog,German Shepherd Mix
Dog,German Shepherd Mix
Dog,German Shepherd Mix
Dog,German Shepherd Mix
Dog,Boxer Mix
Cat,Siamese Mix
Dog,Dachshund Mix
Cat,Domestic Longhair Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair
Other,Bat
Dog,Chihuahua Shorthair Mix
Dog,Chihuahua Shorthair Mix
Dog,Chihuahua Shorthair Mix
Dog,Chihuahua Shorthair Mix
Dog,Blue Lacy
Bird,Catbird Mix
