Animal_ID,Found_Address
A693840,6206 Carnation Ter in Austin (TX)
A693840,Ralph Avalando & Shallot in Austin (TX)
A693840,Ralph Avalando & Shallot in Austin (TX)
A682703,Grand Avenue Pkwy And Picadilly Dr in Pflugerville (TX)
A681400,4707 Munson in Austin (TX)
A683575,5400 Springville Ln in Austin (TX)
A731206,7404 Southgate Ln in Austin (TX)
A739081,3005 Parker Lane in Austin (TX)
A739081,3005 Parker Lane in Austin (TX)
A739081,Weidemar Ln And Shelby Ln in Austin (TX)
A739081,Weidemar Ln And Shelby Ln in Austin (TX)
A719167,7500 Blessing in Austin (TX)
A689945,9601 Point Vista Pl in Austin (TX)
A689986,5808 Mckinney Falls Parkway in Austin (TX)
A704306,Cesar Chavez And Pleasant Valley in Austin (TX)
A713799,Austin (TX)
A697843,East Hwy 71/Ih 30 in Del Valle (TX)
A697843,East Hwy 71/Ih 30 in Del Valle (TX)
A697843,Austin (TX)
A697843,Austin (TX)
A691049,8003 Decker Ln in Travis (TX)
A707389,12302 Havelock Dr in Austin (TX)
A715031,1406 Click Cv in Austin (TX)
A715031,1406 Click Cv in Austin (TX)
A715031,Cameron And Rundberg in Austin (TX)
A715031,Cameron And Rundberg in Austin (TX)
A735716,13521 Sea Biscuit in Del Valle (TX)
A738497,1114 Henninger St in Austin (TX)
A730009,Austin (TX)
A721252,816 E. 49Th in Austin (TX)
A675000,6633 E 290 in Austin (TX)
A710357,Austin (TX)
A701958,8001 S Ih 35 Frontage Rd in Austin (TX)
A722523,Howard / Dessau in Pflugerville (TX)
A690370,Austin (TX)
A690370,Austin (TX)
A690370,Austin (TX)
A690370,Austin (TX)
A606176,8408 Riverstone in Austin (TX)
A743316,Pflugerville (TX)
A688999,Austin (TX)
A688999,Austin (TX)
A688999,Slaughter in Austin (TX)
A688999,Slaughter in Austin (TX)
A669399,El Dorado And El Rey in Austin (TX)
A669399,El Dorado And El Rey in Austin (TX)
A669399,El Dorado And El Rey in Austin (TX)
A669399,El Dorado And El Rey in Austin (TX)
A669399,2400 Loyola Ln in Austin (TX)
A669399,2400 Loyola Ln in Austin (TX)
A669399,2400 Loyola Ln in Austin (TX)
A669399,2400 Loyola Ln in Austin (TX)
A669399,2300 Devonshire Dr in Austin (TX)
A669399,2300 Devonshire Dr in Austin (TX)
A669399,2300 Devonshire Dr in Austin (TX)
A669399,2300 Devonshire Dr in Austin (TX)
A669399,Chimney in Austin (TX)
A669399,Chimney in Austin (TX)
A669399,Chimney in Austin (TX)
A669399,Chimney in Austin (TX)
A667579,7309 Brookhollow Dr in Austin (TX)
A675243,Austin (TX)
A730172,Austin (TX)
A665002,509 E Todd Lane in Austin (TX)
A721511,Austin (TX)
A687929,610 Wilmes Dr in Austin (TX)
A687929,610 Wilmes Dr in Austin (TX)
A687929,Travis (TX)
A687929,Travis (TX)
A713457,Outside Jurisdiction
A713457,Outside Jurisdiction
A713457,9800 Plover Dr in Austin (TX)
A713457,9800 Plover Dr in Austin (TX)
A709968,Fallwell Ln And Puebla Dr in Del Valle (TX)
A724011,Austin (TX)
A573460,4801 S Ih 35 in Austin (TX)
A668526,1000 E. 41St St. in Austin (TX)
A693030,11610 Prairie Hen Ln in Austin (TX)
A705378,2000 Burton Dr in Austin (TX)
A703629,11702 Brookwood in Austin (TX)
A687977,Ann Arbor Ave in Austin (TX)
A718746,124 W Anderson Ln in Austin (TX)
A666198,11351 Bradshaw Rd in Austin (TX)
A671529,11503 Parsons Rd in Travis (TX)
A669607,Austin (TX)
A738027,Travis (TX)
A695710,Westgate in Austin (TX)
A695710,Westgate in Austin (TX)
A695710,4020 Lost Oasis Hollow in Austin (TX)
A695710,4020 Lost Oasis Hollow in Austin (TX)
A705717,Austin (TX)
A734132,4410 Dovemeadow Dr in Austin (TX)
A734132,4410 Dovemeadow Dr in Austin (TX)
A734132,8216 Georgian Dr in Austin (TX)
A734132,8216 Georgian Dr in Austin (TX)
A709195,Timber Heights Drive And Nobleman Drive in Austin (TX)
A680225,177 Meadow View Blvd in Del Valle (TX)
A679204,1303 Parsons A in Austin (TX)
A667928,17005 Hayride Cir in Del Valle (TX)
A704731,8609 Alpine Dr in Del Valle (TX)
A724014,Austin (TX)
A704031,Austin (TX)
A681561,124 W Anderson Ln in Austin (TX)
A674590,Austin (TX)
A674590,Austin (TX)
A674590,12501 Tech Ridge Blvd in Austin (TX)
A674590,12501 Tech Ridge Blvd in Austin (TX)
A703701,5932 Hammermill Run in Austin (TX)
A703701,5932 Hammermill Run in Austin (TX)
A703701,901 S Mopac Expy in Austin (TX)
A703701,901 S Mopac Expy in Austin (TX)
A696067,Cameron Rd in Austin (TX)
A678259,301 Twin Creeks Rd in Travis (TX)
A671432,2210 E 9Th St Unit C in Austin (TX)
A715488,1412 Norseman Terrace in Austin (TX)
A707258,Austin (TX)
A684492,12401 Pauls Valley Rd in Austin (TX)
A681230,12034 Research Blvd in Austin (TX)
A742837,985112001282540 in Austin (TX)
A692933,5301 Fort Clark Dr in Austin (TX)
A720749,21413 Webber Oaks Cv in Travis (TX)
A688402,Del Valle (TX)
A685973,Austin (TX)
A686972,13904 Old Hwy 20 in Manor (TX)
A741420,1-35 Overpass & 290 in Austin (TX)
A557260,407 Meadow Lea Dr in Austin (TX)
A731311,17944 Majestic Elm Ln in Travis (TX)
A683050,Woodhue/Boxcar in Austin (TX)
A740345,5106 Meadow Creek Cove in Austin (TX)
A690954,Montopolis And Porter St in Austin (TX)
A711692,12118 Walnut Park #828 in Austin (TX)
A702800,11123 Old Lockhart Rd in Austin (TX)
A702800,11123 Old Lockhart Rd in Austin (TX)
A702800,3713 Tudur Blvd in Austin (TX)
A702800,3713 Tudur Blvd in Austin (TX)
A696324,Holly St And Waller St in Austin (TX)
A696324,Holly St And Waller St in Austin (TX)
A696324,San Marcos St And Willow St in Austin (TX)
A696324,San Marcos St And Willow St in Austin (TX)
A710951,3206 East 16Th in Austin (TX)
A704280,9001 N 620 in Austin (TX)
A706455,Hwy 183 And Hwy 130 in Travis (TX)
A695820,21069 Blake Manor Rd in Travis (TX)
A669540,9401 Roanna Dr in Austin (TX)
A707901,North Ih-35 And Rundberg in Austin (TX)
A676063,1800 Crystal Bend in Travis (TX)
A686845,Austin (TX)
A686845,Austin (TX)
A686845,Austin (TX)
A686845,9410 Cameron Rd in Austin (TX)
A686845,9410 Cameron Rd in Austin (TX)
A686845,9410 Cameron Rd in Austin (TX)
A686845,14400 Larkdale Ln in Travis (TX)
